,PADRE,MADRE,PADRE DE LA MADRE
R.P. D815 H.B.A 898617,EL ABRA HAYMOUNT A204,EL ABRA LADY TALLADOR 8809,EL ABRA JEWLIAN 6230
EL ABRA LADY TALLADOR D815,,,
NACIÓ 01/06/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D817 H.B.A 898616,EL ABRA HAYMOUNT A204,EL ABRA DUCHESS RANCE 8348,EL ABRA JEWLIAN MELGA 4050
EL ABRA DUCHESS RANCE D817,,,
NACIÓ 01/06/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D849 H.B.A 898888,EL ABRA HAYMOUNT A204,EL ABRA QUEEN VOLGA 7794,EL ABRA WITBERT 4762
EL ABRA QUEEN VOLGA D849,,,
NACIÓ 01/08/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D855 H.B.A 898885,EL ABRA JEWLIAN MELGA A365,EL ABRA DUCHESS IMPATIENT A915,EL ABRA JEWLIAN 7579
EL ABRA DUCHESS IMPATIENT D855,,,
NACIÓ 01/07/23,,,
SERVIDA EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
